Original_query,Entities in query,Expanded query
review article on cholesterol emboli,"article ,cholesterol emboli ", cholesterol emboli review article panniculitis due to cholesterol emboli 
descriptions of injuries associated with cult activities,"Descriptions, injuries ,associated with , cult activities",descriptions cult activities injuries associated with job description program description guideline procedure description sas current imaging procedure descriptions doc prior imaging procedure descriptions defined position descriptions interval test condition arm birth morphology associated interpretation program descriptions guidelines survey of autonomic symptoms gdc prior treatment terminology documents definition sufficiently defined concept definition status (core metadata concept parameterized data type - interval data type interval tests (qualifier value condition domain sequence arm entity name part qualifier - birth name given at birth morphology findings domain pack sorting packing (action update regular total incorrect free test conditions combined trauma qualifier associated organism associated substance wrong empty (qualifier free (available (qualifier traumatic injury burn injury craniocerebral trauma multiple trauma radiation injury injury caused by exposure to ionizing radiation (disorder 
lactase deficiency therapy options,"lactase deficiency ,therapy "," therapy lactase deficiency therapeutic due to oro test oropharyngeal route of drug administration testing therapeutic procedure art therapy autogenic training behaviour therapy cognitive therapy combined modality therapy cold therapy dance therapy family psychotherapy gestalt therapy hypnotherapy language therapy music therapy play therapy multiple psychotherapy recreational therapy rehabilitation therapy speech therapy ambulation therapy positioning - therapy behavior therapy hypothermia, induced psychotherapy, multiple therapy object no treatment no result therapy object (animal model no treatment for diabetes lactase deficiency (disorder present"
"pancytopenia in aids, workup and etiology","pancytopenia ,aids , workup , etiology","pancytopenia etiology aids workup fanconi anaemia fanconi anemia acquired pancytopenia autoimmune pancytopenia constitutional aplastic anemia with malformation pancytopenia-dysmelia doan-wright syndrome myelocerebellar disorder fanconi anemia, complementation group b hoyeraal hreidarsson syndrome hoyeraal-hreidarsson syndrome caplan syndrome disease, newcastle xerophthalmia clutton's joint claude syndrome gangosa yaw phrynoderma cerebral infarct cerebral thrombosis tuberculous syndrome, acquired immuno-deficiency aids dementia complex aids-associated nephropathy feline acquired immunodeficiency syndrome simian acquired immunodeficiency syndrome fanconi anemia, complementation group a (disorder x-linked dyskeratosis congenita newcastle disease clutton's joints gangosa of yaws cerebral infarction thrombosis of cerebral veins cerebral arterial thrombosis tuberculosis induced due to unknown complete refer diagnostic cause planning medical need induce (action etiology aspects unknown mechanism of action data operation - complete referring planned patient need for (contextual qualifier negation >50 science of etiology psa level greater than fifty work-up ct angiography diagnosis computed tomography angiography "
"thrombocytosis, treatment and diagnosis","thrombocytosis, treatment, diagnosis","diagnosis thrombocytosis treatment tumor staging diagnostic neoplasm staging diagnosis code iii roman numeral iii diagnosis aspect not make familial therapeutic treating negation make - instruction imperative therapeutic aspects diagnosis study treatment study treatment epoch abetalipoproteinaemia acromegaly essential thrombocythaemia thrombocythemia 1 thrombocythemia 3 thrombocythemia, x-linked dominant thrombocytosis, autosomal thrombocytosis, benign familial microcytic thrombocytosis, familial x-linked thrombocythemia with distal limb defect abetalipoproteinemia thrombocythemia, essential thrombocytosis, autosomal dominant reactive splenectomy therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment reactive therapy cancer therapeutic procedure biomaterial treatment treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension "
"chronic fatigue syndrome, managment and treatment","chronic fatigue syndrome, managment , treatment",chronic fatigue syndrome treatment managment chronic fatigue syndrome in adolescence chronic fatigue syndrome in children therapeutic treating not therapeutic aspects negation therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment cancer therapeutic procedure biomaterial treatment treatment study treatment epoch treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension 
"rh isoimmunization, review topics","rh isoimmunization , review "," rh isoimmunization review rh isoimmunisation hemolytic disease of fetus nos rhd hemolytic disease, of newborn condition rh condition rh hemolytic disease of the newborn anemia isoimmunization from non-abo, non-rh blood-group incompatibility affecting pregnancy kell isoimmunization in pregnancy duffy isoimmunization in pregnancy lewis isoimmunization in pregnancy erythroblastosis, fetal rheumatic heart disease rh disease hemolytic disease of fetus or newborn due to rhd isoimmunization review [publication type] complication complication (attribute act class - review no - yes/no indicator"
" endocarditis, duration of antimicrobial therapy"," endocarditis, duration ,antimicrobial therapy","antimicrobial therapy endocarditis duration antibiotics not system meningococcal syphilitic non non-infected stated negation systemic therapy wound care debridement negative pressure wound therapy foam dressing wound care management debridement by maggots negative-pressure wound therapy doxorubicin/fluorouracil/mitomycin/vincristine protocol dressing of skin or wound no result period duration duration of sleep duration of menstrual flow erection duration duration of micturition duration of deceleration foetal heart rate duration of gestation dressing self-care duration of deceleration (fetal heart rate heart rate, fetal medication duration brand of oxymetazoline pharmaceutical preparations microbicides nec gonococcal primary eosinophilic endomyocardial restrictive cardiomyopathy mycosis endocarditis - typhoid fever, q necrotizing enterocolitis in fetus or newborn gonorrhea mycoses q fever subacute chronic temporal marriage duration response duration transfusion duration time test duration duration of treatment duration of freeze point in time duration (temporal concept temporal -temporal qualifier time (foundation metadata concept timepoint meningococcal vaccine component"
use of beta-blockers for thyrotoxicosis during pregnancy,"beta-blockers ,thyrotoxicosis ,pregnancy",thyrotoxicosis beta-blockers pregnancy thyrotoxicosis factitia thyrotoxicosis due to graves' disease hyperthyroidism with hashimoto disease thyrotoxicosis in pregnancy myopathy goitre thyrotoxicosis with toxic single thyroid nodule toxic multinodular goitre hyperthyroidism due to ectopic thyroid nodule thyrotoxicosis of other specified origin thyrotoxic myopathy toxic diffuse goitre hypertension cervical pregnancy mesometric pregnancy mural pregnancy goiter toxic multinodular goiter toxic diffuse goiter hypertensive disease adrenergic antagonist beta blockers calcium channel blocker beta blockers for alcohol withdrawal beta blockers/related diuretic nebivolol/valsartan atenolol + nifedipine atenolol + bendroflumethiazide adrenergic receptor antagonist adrenergic antagonists adrenergic beta-antagonists calcium channel blockers diuretics nebivolol / valsartan atenolol / nifedipine atenolol / bendroflumethiazide substance with receptor antagonist mechanism of action (substance intrauterine pregnancy 
relationship of cerebral palsy and depression,"relationship ,cerebral palsy ,depression","relationship depression cerebral palsy congruent relationship donor relationship paternal relationships depression - recess paternal (qualifier concept relationship object relationship cdisc depression scale basc-2 depression subordinate domain depression visual analogue scale cdisc relationship class clinical data interchange standards consortium terminology depression scale (basc-2 behavior assessment system for children, second edition depression, mental depressive disorder depressed mood major depressive disorder bipolar disorder bipolar depression depression, chemical endogenous depression involutional depression reactive depression melancholia unipolar depression seasonal affective disorder mental depression depression, bipolar depression - motion depression motion central nervous system depression little's disease diplegic infantile cerebral palsy monoplegic infantile cerebral palsy athetoid cerebral palsy spastic diplegia cerebral palsy monoplegic cerebral palsy quadriplegic cerebral palsy cerebral palsy, dystonic-rigid ataxic cerebral palsy cerebral palsy, atonic ataxic infantile cerebral palsy congenital cerebral palsy cerebral palsy, congenital congenital spastic cerebral palsy cerebral palsy, mixed cerebral palsy, rolandic type central nervous system depression (disorder "
"secondary hypertension, recent strategy for workup","secondary hypertension,workup","secondary hypertension workup goldblatt hypertension hypertension, renal hypertension, renovascular malignant secondary hypertension benign secondary hypertension benign renovascular hypertension benign secondary renovascular hypertension secondary malignant renovascular hypertension secondary diastolic hypertension renal arterial hypertension pulmonary hypertension, secondary endocrine disorder hypertensive nephropathy hypertension+pregnancy nephritis hypertension, goldblatt secondary pulmonary hypertension hypertensive disease endocrine system diseases maternal hypertension work-up diagnostic ct angiography diagnosis computed tomography angiography"
chemotherapy advanced for advanced metastatic breast cancer,"chemotherapy , advanced ,metastatic breast cancer ","advanced chemotherapy metastatic breast cancer advanced phase excessive tumour of advanced extent records metastatic/recurrent {nos} for approved predominant type tumor of advanced extent query quantity unit - records not otherwise specified preposition for main type - attribute pharmacotherapy chemotherapy regimen chemotherapy, nos combination drug therapy drug therapy, combination adjuvant chemotherapy immunotherapy for cancer intraperitoneal chemotherapy chemoprevention prophylactic chemotherapy nos intravenous chemotherapy intramuscular chemotherapy subcutaneous chemotherapy oral chemotherapy radiomimetic chemotherapy endocrine therapy combination chemotherapy chemotherapy, adjuvant chemoprevention of cancer hormone therapy pharmacotherapeutic induced progressive use include diagnosis reported induce (action metastatic to metastatic qualifier utilization qualifier usage negation including (qualifier diagnosis aspect advanced cancer adenoma advanced carcinoma advanced lymphoma advanced sarcoma advanced melanoma advanced adenocarcinoma carcinoma breast stage iv secondary malignant neoplasm of female breast breast carcinoma tubular breast cancer carcinomas ductal infiltrating metastatic human epidermal growth factor 2 positive carcinoma of breast breast cancer stage cancer end stage her2-negative breast cancer oncology invasive female breast cancer ductal carcinoma in situ breast carcinoma by gene expression profile advanced malignant neoplasm tubular breast carcinoma invasive ductal breast carcinoma malignant neoplasm of breast childhood breast carcinoma malignant neoplasm of breast staging terminal cancer neoplasms invasive carcinoma of breast noninfiltrating intraductal carcinoma cervical adenocarcinoma"
"spontaneous unilateral galactorrhea, differential diagnosis and workup","spontaneous , unilateral , galactorrhea , differential diagnosis, and workup ","unilateral workup spontaneous galactorrhea differential diagnosis further local left oral left sided differential - view imaging unilateral mammography unilateral nephrotomography radionuclide venogram, unilateral work-up diagnostic ct angiography diagnosis, differential raw diagnostic imaging imaging techniques computed tomography angiography airway resistance test procedure complete refer cause planning medical need periodontal closed not non delivered using procedure (set of actions data operation - complete referring etiology aspects planned patient need for (contextual qualifier negation periodontal route of administration transfer technique table cell horizontal align - left use of swyer james syndrome ainhum spontaneous pneumothorax central convulsion round heart disease local disease periodontal disease spontaneous hypoglycemia spontaneous hyphema idiopathic myoglobinuria galactorrhoea normoprolactinemic galactorrhea galactorrhoea-hyperprolactinaemia galactorrhoea in pregnancy chiari-frommel syndrome condition postpartum condition g syndrome puerperal condition nonpuerperal galactorrhea forbes - albright syndrome forbes albright syndrome nonpuerperal galactorrhea-amenorrhea swyer-james syndrome pneumothorax, primary spontaneous periodontal diseases galactorrhea not associated with childbirth galactorrhea associated with childbirth galactorrhea-hyperprolactinemia galactorrhea in pregnancy puerperal disorders opitz-g syndrome, type 2 opitz gbbb syndrome, x-linked secondary hyperprolactinemia due to prolactin-secreting tumor condition:find:pt:^patient:nom differential diagnosis:finding:point in time:^patient:nominal"
relationship between prozac and liver disease,"relationship ,prozac ,liver disease","relationship liver disease prozac congruent relationship donor relationship veno-occlusive relationships concept relationship object relationship cdisc reported cdisc relationship class clinical data interchange standards consortium terminology report (document hepatobiliary disorder end stage liver disease toxic liver disease acute alcoholic liver disease alcoholic fatty liver glycogen storage disease type 1 hepatic veno-occlusive disease hepato-lenticular degeneration liver diseases, parasitic cirrhosis chronic liver disease polycystic liver disease chronic nonalcoholic liver disease pick's disease of heart blood coagulation disorder due to liver disease fatty liver, alcoholic glycogen storage disease type i hepatolenticular degeneration alcoholic liver diseases liver cirrhosis pick disease of heart prozac weekly fluoxetine "
"isolated hypoaldosteronism, syndromes where hypoaldosteronism and hypokalemia occur concurrently","isolated , hypoaldosteronism  , syndromes , hypoaldosteronism , hypokalemia ","isolated hypokalemia hypoaldosteronism syndromes not parasites shift circulating state negation parasitic shift displacement bed status - isolated seizure single lump specific fear isolated proteinuria alone fever splenomegaly isolated dwelling hypokalemia, ctcae asymptomatic episodic hypokalemia hypokalemia, intermittent hypokalemia, inadequate intake ekg change serum hypokalemia, ctcae decreased 2+ no result extrapyramidal disorder seizure, ctcae 3.0 seizure, ctcae 5.0 parasite present living alone fever symptoms (finding fever, ctcae electrocardiographic changes decreased circulating aldosterone level decreasing extrapyramidal disorder, ctcae isolated cystinuria isolated blepharospasm isolated hypercystinuria osteopoikilosis, isolated acute hypokalemia chronic hypokalemia familial hypokalemia paraneoplastic hypokalemia hypokalemia of newborn gitelman's syndrome transitory neonatal hypokalemia hyperreninemic hypoaldosteronism hyporeninaemic hypoaldosteronism familial hypoaldosteronism corticosterone methyl oxidase type i deficiency corticosterone methyloxidase type ii deficiency corticosterone methyl oxidase type ii deficiency adiposis dolorosa aids related complex beckwith-wiedemann syndrome bloom's syndrome caplan syndrome cataplexy causalgia cerebellar disease chorea compartment syndrome cri-du-chat syndrome croup digeorge's syndrome digeorge syndrome duane retraction syndrome dumping syndrome epilepsy hereditary factor xi deficiency hypokalemia, familial gitelman syndrome hypoaldosteronism, hyporeninemic bloom syndrome cerebellar diseases compartment syndromes shprintzen-goldberg syndrome nos"
pathophysiology and etiology of stevens-johnson syndrome,"pathophysiology ,etiology,stevens-johnson syndrome","sceptibility induced etiology aspects unknown mechanism of action susceptibility (property induce (action functional disorder stenosi thrombosis infarct stenosis blood clot thrombosis of blood vessel infarction risk science of etiology subject risk stroke disease caplan syndrome disease, newcastle xerophthalmia clutton's joint claude syndrome gangosa yaw phrynoderma cerebral infarct cerebral thrombosis tuberculous stevens johnson syndrome drug-induced stevens johnson syndrome oculomucocutaneous syndrome stevens-johnson syndrome toxic epidermal necrolysis spectrum necrolysis, toxic epidermal stevens-johnson syndrome-toxic epidermal necrolysis overlap syndrome sjs cerebrovascular accident newcastle disease clutton's joints gangosa of yaws cerebral infarction thrombosis of cerebral veins cerebral arterial thrombosis tuberculosis schwartz-jampel syndrome altered level of consciousness no result etiology, institution association etiology, physician association etiology, primary etiology, secondary etiology, acquired etiology, inanimate carrier of infection diarrhea finding stevens-johnson syndrome, ctcae grade 3 stevens-johnson syndrome, ctcae grade 4 stevens-johnson syndrome, ctcae grade 5 stevens-johnson syndrome, ctcae rash erythema multiforme, ctcae grade 2 rash erythema multiforme, ctcae grade 3 rash erythema multiforme, ctcae grade 4 rash erythema multiforme, ctcae grade 5 rash erythema multiforme, ctcae consciousness, level altered stroke, ctcae unknown data entry method device status unkown diarrhea, ctcae experimental finding toxic epidermal necrolysis, ctcae "
"sickle cell disease, treatment  advice","sickle cell disease, treatment ","sickle cell disease treatment sickle cell anaemia cell disease, sickle sickle cell-thalassaemia disease sickle cell-ss disease sickle cell hepatopathy hemoglobin sc disease sickle cell trait hemoglobin ss disease hemoglobin d disease hemoglobin sd disease hemoglobin se disease other sickle cell disease sickle cell-hemoglobin lepore disease hemoglobin disease sickle cell arthropathy anemia, sickle cell sickle cell-thalassemia disease other sickle-cell disorders hemoglobinopathies procedure not screening therapeutic treating procedure (set of actions negation aspects of disease screening therapeutic aspects therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment interventional procedure cancer therapeutic procedure biomaterial treatment treatment study treatment epoch research subject screening trial screening screening study encounter treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension physical medical procedure patient visit "
mebendole frequency of administration to prevent malnutritiion,"mebendole frequency , administration, prevent , malnutritiion ","prevent administration malnutritiion mebendole frequency product medication prevent (product pharmacologic substance pharmaceutical preparations library administration administration occupational activities prophylactic treatment preventing pain orchidopexy preventive immunization/medication prevention of disorder administration procedure administration, buccal administration, intranasal administration, intravaginal administration, intravesical administration, oral administration, topical anesthesia procedure intravenous administration administration of enema intraarterial infusion intravenous infusion procedure injection of therapeutic agent injections, intraperitoneal disease prevention anesthesia procedures intravenous infusion procedures intra-arterial infusions take agent administration inhalation drug administration hospital administration interruption fall autumn multiplicative product substance use unable medication - hl7 publishing domain medications gdc treatment outcome terminology substance use domain unable to use stairs"
"thrombocytopenia in pregnancy, etiology and management","thrombocytopenia ,pregnancy  , etiology, management ","etiology management pregnancy thrombocytopenia due to unknown occupational disease management diet therapy nutritional management control procedure therapeutic induced etiology aspects unknown mechanism of action therapeutic aspects control function procedure (set of actions induce (action science of etiology scientific control study control administration management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles anger management case management hospital administration management audit management, patient care risk management agent administration patient care management physical medical procedure case management (procedure occupations management occupations intrauterine pregnancy caplan syndrome disease, newcastle xerophthalmia clutton's joint claude syndrome gangosa yaw phrynoderma cerebral infarct cerebral thrombosis tuberculous hypertension cervical pregnancy mesometric pregnancy mural pregnancy thrombocytopaenia acquired thrombocytopenia kasabach-merritt syndrome neonatal thrombocytopenia thrombocytopenia, neonatal disorder autoimmune thrombocytopenia thrombocytopenia, autoimmune congenital thrombocytopenia cyclic thrombocytopenia thrombocytopenia due to platelet alloimmunization amegakaryocytic thrombocytopenia mediterranean thrombocytopenia immune thrombocytopaenic purpura perinatal thrombocytopenia benign gestational thrombocytopenia essential thrombocytopenia primary thrombocytopenia hiv thrombocytopenia idiopathic thrombocytopenia newcastle disease clutton's joints gangosa of yaws cerebral infarction thrombosis of cerebral veins cerebral arterial thrombosis tuberculosis hypertensive disease neonatal thrombocytopenia (disorder neonatal alloimmune thrombocytopenia immune thrombocytopenic purpura thrombocytopenia, cyclic etiology, institution association etiology, physician association etiology, primary etiology, secondary etiology, acquired etiology, inanimate carrier of infection diarrhea possible pregnancy finding encounter due to normal pregnancy pregnancy number pregnancy with history of ectopic pregnancy decreased platelet count aggravated unknown data entry method device status unkown diarrhea, ctcae possible pregnancy (finding experimental finding hypertension, ctcae gravidity symptom aggravating factors "
"acute tubular necrosis due to aminoglycosides, contrast dye, outcome and treatment","acute tubular necrosis ,aminoglycosides , contrast dye , outcome ,treatment","aminoglycosides contrast dye outcome acute tubular necrosis treatment antibiotics, aminoglycoside other aminoglycosides in atc iodinated contrast agent dyes poisoning resistant to accidental unintentional initial due to adverse effects cause use of therapeutic including result traumatic treating not poisoning aspects resistant (qualifier value initial usage aspects of adverse effects etiology aspects including (qualifier therapeutic aspects negation infection, nos nephropathy contrast dye allergy hyperthyroidism acute nephritis acute kidney failure acute renal failure due to procedure communicable diseases kidney diseases kidney failure, acute pre-renal acute kidney injury graft, nos burr hole injection of gas therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment grafting procedure burr hole procedure cancer therapeutic procedure biomaterial treatment science of etiology outcome monitoring treatment study treatment epoch encounter puncture forecast of outcome determination of outcome retrospective audit encounter due to outcome of delivery treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension patient visit puncture procedure acute inpatient encounter "
"chronic pain management, review article, use of tricyclic antidepressants","chronic pain, management, review article,tricyclic antidepressants","tricyclic antidepressants management chronic pain review article tricyclic antidepressive agent tricyclic anti depressant tricyclic antidepressive agents tricyclic antidepressant measurement screen method urine tricyclic drug screen specimen processing human cells, tissues, and cellular and tissue-based products screening test method specimen processing (procedure administration management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles disease management anger management case management diet therapy hospital administration management audit management, patient care risk management agent administration patient care management physical medical procedure case management (procedure occupations management occupations chronic abdominal pain chronic ruq abdominal pain chronic nonspecific abdominal pain chronic pelvic pain of female chronic intractable pain chronic back pain abdomen pain llq pain luq pain cramp chronic rlq abdominal pain backpain chest pain rectal pain epigastric pain flank pain foot pain hip pain left lower quadrant pain left upper quadrant pain muscle cramp anal pain hip joint pain pt tested nar management technique records gdc prior treatment terminology tests (qualifier value narrative (section of report methods cdisc sdtm procedure terminology frequency of pain question have pain usual severity pain pain distress question how much distress pain feel pain urinary system findings domain quantity limited request - records "
